Time/Date,G12000,M12000,G11301,G11300,G11401,G11400,P11400,G10100,G10101,G10102,P10103,P10104,F10100,G11001,T11001,T11002
7/17/2016 20:31,1,60,2,2,0,1,202,2,4,1,6,0,15,17504,139,138
7/17/2016 20:31,1,60,2,2,0,1,163,2,4,1,6,0,15,17504,139,138
7/17/2016 20:31,1,60,2,2,0,1,148,2,4,1,6,0,15,17504,139,138
7/17/2016 20:31,1,60,0,2,0,1,138,2,4,1,6,0,15,17504,139,138
7/17/2016 20:31,1,60,2,2,0,1,117,2,4,1,6,0,15,17504,139,138
7/17/2016 20:31,1,60,2,1,0,1,26,2,4,1,5,0,15,17504,139,138
7/17/2016 20:31,1,60,2,1,0,1,26,2,4,1,3,0,15,17504,139,138
7/17/2016 20:31,1,60,2,1,0,1,26,2,4,1,3,0,15,17504,139,138
7/17/2016 20:31,1,60,2,1,0,1,26,2,4.01,1,3,0,15,17504,139,138
7/17/2016 20:31,1,60,2,1,0,1,70,0,8.39,0,2300,72,95,17464,139,138
7/17/2016 20:32,1,60,2,1,0,1,80,0,8.39,0,2092,102,107,17464,139,138
7/17/2016 20:32,1,60,2,1,0,1,68,0,8.39,0,2097,85,101,17966,139,138
7/17/2016 20:32,1,60,2,1,0,1,63,0,8.39,0,2093,75,96,17979,139,138
7/17/2016 20:32,1,60,2,1,0,1,62,0,8.39,0,2009,74,96,17979,139,138
7/17/2016 20:32,1,60,2,1,0,1,56,0,8.39,0,1961,68,92,18042,139,138
7/17/2016 20:32,1,60,2,1,0,1,47,0,8.39,0,1997,58,86,18042,139,138
7/17/2016 20:32,1,60,2,1,0,1,40,0,8.39,0,1972,51,83,15258,139,138
7/17/2016 20:32,1,60,2,1,0,1,38,0,8.39,0,1939,46,78,15258,139,138
7/17/2016 20:32,1,60,2,1,0,1,33,0,8.39,0,1924,38,76,15258,139,138
7/17/2016 20:32,1,60,2,1,0,1,32,0,8.39,0,1901,36,73,15710,139,138
7/17/2016 20:32,1,60,2,1,0,1,32,0,8.39,0,1867,37,75,15710,139,138
7/17/2016 20:32,1,60,2,1,0,1,36,0,8.39,0,1848,42,76,11699,139,138
7/17/2016 20:32,1,60,2,1,0,1,36,0,8.39,0,1852,43,75,11699,139,138
7/17/2016 20:32,1,60,2,1,0,1,37,0,8.39,0,1899,40,75,10511,139,138
7/17/2016 20:32,1,60,2,1,0,1,34,0,8.39,0,1923,41,72,10511,139,138
7/17/2016 20:32,1,60,2,1,0,1,33,0,8.39,0,1968,36,72,7255,139,138
7/17/2016 20:32,1,60,2,1,0,1,29,0,8.39,0,1977,34,70,7575,139,138
7/17/2016 20:32,1,60,2,1,0,1,28,0,8.39,0,1994,30,69,7575,139,138
7/17/2016 20:32,1,60,2,1,0,1,30,0,8.39,0,1930,31,72,7077,139,138
7/17/2016 20:32,1,60,2,1,0,1,29,0,8.39,0,1910,34,72,7077,139,138
7/17/2016 20:33,1,60,2,1,0,1,35,0,8.39,0,1878,38,76,8700,139,138
7/17/2016 20:33,1,60,2,1,0,1,36,0,8.39,0,1865,43,77,8700,139,138
